sample #,species,CO2 treatment,sample type,Filename,Arginine,Caffeine,Chlorogenic acid,Cinnamic acid,Eugenol,Gallic acid,Histidine,Isoleucine + Leucine,Kaempferol,Lysine,Methionine,Nicotine,P-coumaric acid,Phenylalanine,Quercitin,Threonine,Tryptophan,Valine,Round
99,sunflower,elevated,pollen,SUB09603_SPL099,2876419,161762,N/F,N/F,N/F,N/F,1858274984,13762293,89495,21324167,3319514,N/F,17276,16929271,N/F,6419577,5922770,13622544356,2
100,sunflower,elevated,pollen,SUB09603_SPL100,2004075,49789,N/F,N/F,180804,N/F,1824252729,12129223,113074,16924755,1105971,N/F,19506,16390098,N/F,4734372,4939255,12155768883,2
101,sunflower,elevated,pollen,SUB09603_SPL101,17527865,83317,281733,N/F,1869544,N/F,1520186294,42326561,N/F,20916459,6324317,N/F,38435,37742333,N/F,7732461,24174151,13125603286,2
102,sunflower,elevated,pollen,SUB09603_SPL102,4979954,101184,20562,N/F,1887180,N/F,1582013284,31378781,116395,18664584,4207747,N/F,N/F,27584829,N/F,7154677,18473826,14538650051,2
103,squash,ambient,pollen,SUB09603_SPL103,5237246,78007,N/F,12237,N/F,N/F,28850000,60826807,2706939,3326002,5759275,N/F,144924,48401930,N/F,13128463,18578433,502308503,2
104,squash,ambient,pollen,SUB09603_SPL104,11421179,94681,N/F,N/F,N/F,N/F,63373172,130071043,1495545,8725688,8901928,N/F,36931,140349089,N/F,20227795,32578044,332974289,2
105,squash,ambient,pollen,SUB09603_SPL105,10991990,8790740,N/F,7697,N/F,N/F,55299736,111762840,1286964,7963680,9521530,N/F,21855,130020824,N/F,18914591,25906403,575965288,2
106,squash,ambient,pollen,SUB09603_SPL106,4546500,54784,N/F,6284,N/F,N/F,40439311,76122363,1321650,4086889,6525591,N/F,70308,61705575,N/F,13704918,13777435,181683361,2
107,squash,ambient,pollen,SUB09603_SPL107,17665712,1200320,N/F,6409,N/F,N/F,114215596,212585241,1699566,14386961,15825760,N/F,14508,222012113,N/F,26930580,53044117,543279783,2
108,squash,ambient,pollen,SUB09603_SPL108,10077091,3331841,N/F,N/F,N/F,N/F,74343345,221046088,1504955,10968488,16864419,N/F,25058,203601102,N/F,23219138,41993983,1516795573,2
109,squash,ambient,pollen,SUB09603_SPL109,19702744,18765,N/F,N/F,N/F,N/F,89828443,227785444,1477211,16206109,16054194,N/F,21220,223018087,N/F,25187950,43946343,170017756,2
110,squash,ambient,pollen,SUB09603_SPL110,14382720,129190,N/F,4107,107500,N/F,74614433,100415248,1240177,9251029,9403161,N/F,17121,117620530,N/F,17168034,29751948,252213951,2
111,squash,elevated,pollen,SUB09603_SPL111,8852394,1074773,N/F,4541,119735,N/F,31531090,76425995,1549724,4853067,7154273,N/F,18291,63221849,N/F,16494484,24495839,628550509,2
112,squash,elevated,pollen,SUB09603_SPL112,9510590,322949,N/F,3456,N/F,N/F,40907958,107397978,1612052,5747716,6668980,N/F,39546,110265468,N/F,16685171,33470044,1198290079,2
113,squash,elevated,pollen,SUB09603_SPL113,12113137,17130,N/F,5257,N/F,4946143,56774290,119210618,3269881,7617213,9662017,N/F,148674,126670992,N/F,17688739,33185252,347870527,2
114,squash,elevated,pollen,SUB09603_SPL114,13738601,151681,N/F,7306,N/F,N/F,78535716,215372914,1506437,10318979,16334097,N/F,17237,226075534,N/F,26809083,56330486,751074939,2
115,squash,elevated,pollen,SUB09603_SPL115,6787899,N/F,N/F,30001,N/F,N/F,31846991,84799336,1735850,4897797,7972774,N/F,15110,66879018,N/F,15477697,22416763,558859821,2
116,squash,elevated,pollen,SUB09603_SPL116,8934406,39960,N/F,4347,N/F,N/F,47001278,122631325,1501500,6521522,10116116,N/F,550597,122236152,N/F,21597488,42580399,617149443,2
117,squash,elevated,pollen,SUB09603_SPL117,12312736,105376,N/F,5013,N/F,N/F,66202235,177746137,1493330,9655601,13061548,N/F,38865,191792718,N/F,23410650,49818802,762538818,2
118,squash,elevated,pollen,SUB09603_SPL118,12653009,238160,N/F,3500,N/F,N/F,75767926,204677644,2003689,9489038,13090461,N/F,18346,220223256,N/F,27959825,54985629,852911698,2
119,squash,elevated,pollen,SUB09603_SPL119,14600935,56704,N/F,6631,N/F,N/F,66595779,194332705,1722027,10712185,16402326,N/F,17383,229386729,N/F,28239782,50902409,709857032,2
1,poppy,ambient,pollen,SUB09281_SPL01,1476919,1593553,N/F,N/F,1244412,7394640,238092072,245486712,61788239,684356,1854406,N/F,N/F,27005983,56957,24348757,7111806,2629408103,1
2,poppy,ambient,pollen,SUB09281_SPL02,28505127,1303882,N/F,N/F,1236418,9321407,185803568,195124975,163614549,5200628,838980,N/F,N/F,31642991,128575,22906346,8217650,1682281371,1
3,poppy,ambient,pollen,SUB09281_SPL03,80787182,465273,N/F,N/F,1254341,11164991,274510472,285675463,174204911,9455707,968350,N/F,N/F,33402958,N/F,25951372,10088035,1687765987,1
4,poppy,ambient,pollen,SUB09281_SPL04,2185457,1744689,N/F,N/F,4640470,24544046,174812173,199356219,86696236,858855,1766655,N/F,N/F,47800781,181861,24337135,9506316,1901986076,1
5,poppy,ambient,pollen,SUB09281_SPL05,2997450,779185,N/F,N/F,1188749,10479419,235942401,246421820,67523221,788217,578829,N/F,N/F,34602457,N/F,22894086,7700281,2149672985,1
6,poppy,ambient,pollen,SUB09281_SPL06,39627362,793251,N/F,N/F,2021191,7694515,239856043,247550558,173207998,6729238,1465033,N/F,N/F,39550983,N/F,25577524,22537654,1654353886,1
7,poppy,ambient,pollen,SUB09281_SPL07,1361322,438981,N/F,N/F,2062786,12176068,255284115,267460183,71321663,614654,757847,N/F,N/F,25763573,132583,20927156,9324675,2666563269,1
8,poppy,ambient,pollen,SUB09281_SPL08,1167899,727267,N/F,N/F,1681799,18195611,223060629,241256240,107744254,608237,735777,N/F,N/F,23596257,21644,22939953,10322263,2693734984,1
9,poppy,ambient,pollen,SUB09281_SPL09,10809962,503995,N/F,N/F,835093,8587799,185567340,194155139,128395634,1083843,337596,N/F,N/F,38882563,N/F,26612624,10451327,2467658245,1
10,poppy,ambient,pollen,SUB09281_SPL10,21956321,750278,N/F,N/F,1520377,12412949,240235142,252648091,152298776,4996483,1713138,N/F,N/F,36950742,50332,25465546,14181449,2154723932,1
11,poppy,elevated,pollen,SUB09281_SPL11,2384362,1336380,N/F,N/F,794441,18576782,197728436,216305218,57060241,870760,1238776,N/F,N/F,25441353,227017,25530735,7354602,2919018353,1
12,poppy,elevated,pollen,SUB09281_SPL12,867567,1725299,N/F,N/F,1478941,15026095,301035536,316061631,79181863,752097,2698108,N/F,N/F,47410171,615271,34106385,12322649,1780788905,1
13,poppy,elevated,pollen,SUB09281_SPL13,1476063,1210926,N/F,N/F,831843,13490966,264249306,277740272,72914986,519196,495707,N/F,N/F,25108635,N/F,24817103,8927369,2399149644,1
