Sample ID,Sample_weight,N,C,OMIT,NOTES,Plant_SP,ID,CO2,Round
LP2163,1.368,9.0809,52.15,,,LP,21,1,2
LP1562,1.272,9.0082,51.4983,,,LP,15,0,2
LP1560,1.381,9.0056,51.4614,,,LP,15,1,2
LP1362,1.405,9.1989,51.9251,,,LP,13,0,2
LP1663,1.264,5.2609,48.2742,,,LP,16,1,2
LP1161,1.265,5.0874,49.9013,,,LP,11,0,1
LP562,1.257,3.4142,47.0001,,,LP,5,0,1
LP1462,1.365,8.7027,51.3969,,,LP,14,0,2
LP1661,1.491,9.1561,52.5145,,,LP,16,0,2
LP1761,1.429,8.9403,51.3134,,,LP,17,0,2
LP1461,1.44,8.2076,52.1878,,,LP,14,0,2
LP1361,1.429,8.9561,51.67,,,LP,13,0,2
LP2462,1.283,9.4285,55.5495,,,LP,24,0,2
LP163,1.45,5.7254,48.8672,,,LP,1,1,1
LP963,1.397,7.7721,50.416,,,LP,9,1,1
LP763,1.278,3.3942,46.621,,,LP,7,1,1
LP160,1.238,6.6538,47.645,,,LP,1,1,1
LP361,1.302,5.1893,48.3498,,,LP,3,0,1
LP2361,1.358,8.4671,51.5991,,,LP,23,0,2
LP560,1.414,6.0392,49.0947,,,LP,5,1,1
LP561,1.29,7.3136,50.1876,,,LP,5,0,1
LP563,1.286,4.6942,46.4635,,,LP,5,1,1
LP360,1.287,7.7149,50.9532,,,LP,3,1,1
LP2060,1.324,8.4806,51.1248,,,LP,20,1,2
LP162,1.316,6.8667,49.7311,,,LP,1,0,1
LP2061,1.098,8.8084,51.4158,,,LP,20,0,2
LP1460,1.141,8.5942,50.3619,,,LP,14,1,2
LP1862,0.09,9.0164,55.5843,,,LP,18,0,2
LP960,1.012,4.0767,46.8236,,,LP,9,1,1
LP2463,1.273,8.3104,51.6594,,,LP,24,1,2
LP762,1.317,6.6635,50.5439,,,LP,7,0,1
LP961,1.341,4.7107,47.546,,,LP,9,0,1
LP363,1.361,5.1187,49.8493,,,LP,3,1,1
LP362,0.551,7.9641,49.1848,,,LP,3,0,1
LP2161,1.234,7.9396,49.5824,,,LP,21,0,2
LP1163,1.481,7.764,51.4535,,,LP,11,1,1
LP761,0.719,9.45,50.7812,,,LP,7,0,1
LP161,1.414,5.4165,47.9097,,,LP,1,0,1
LP2162,0.62,6.4333,49.4882,,,LP,21,0,2
LP2460,0.573,9.2457,52.0605,,,LP,24,1,2
LP1160,1.359,8.6764,50.1333,,,LP,11,1,1
LP760,1.248,6.8276,49.6784,,,LP,7,1,1
LP363,0.51,4.8671,48.9909,1,,LP,3,1,1
BW1662,1.315,1.5965,50.0521,,,BW,16,0,2
BW1463,1.468,1.5147,50.4202,,,BW,14,1,2
BW2262,1.333,1.3303,49.4232,,,BW,22,0,2
BW2463,1.301,1.7327,50.076,,,BW,24,1,2
BW1963,1.455,1.8313,49.9349,,,BW,19,1,2
BW2163,1.209,2.0898,48.2351,,,BW,21,1,2
BW1863,1.375,1.4932,51.9472,,,BW,18,1,2
BW1762,1.268,1.2739,50.2171,,,BW,17,0,2
BW1763,1.328,1.6239,51.094,,,BW,17,1,2
BW1363,1.314,1.5793,50.3207,,,BW,13,1,2
BW1563,1.478,1.5003,51.8095,,,BW,15,1,2
BW2063,1.316,1.5204,50.9502,,,BW,20,1,2
BW762,1.293,1.5858,51.634,,,BW,7,0,1
BW1862,1.336,1.4791,50.2875,,,BW,18,0,2
BW561,1.226,1.5055,51.3336,,,BW,5,0,1
BW763,1.275,1.5899,49.7723,1,,BW,7,1,1
BW1960,1.453,1.6556,51.1352,,,BW,19,1,2
BW1161,0.627,1.8178,40.0579,,,BW,11,0,1
BW161,1.304,1.3718,50.6292,,,BW,1,0,1
BW1063,1.455,1.5291,49.1652,1,,BW,10,1,1
BW1361,1.431,1.5002,49.0427,,,BW,13,0,2
BW2160,1.229,1.83,51.5511,,,BW,21,1,2
BW2162,1.317,1.4837,50.5165,,,BW,21,0,2
BW1661,1.436,1.7198,50.8878,,,BW,16,0,2
BW361,1.317,1.3603,50.4665,,,BW,3,0,1
BW2061,1.31,1.7855,50.9301,,,BW,20,0,2
BW1961,1.31,1.5772,51.1726,,,BW,19,0,2
BW960,1.168,1.3306,50.6352,,,BW,9,1,1
BW1462,1.274,1.1663,50.5197,,,BW,14,0,2
BW1760,1.421,1.5506,50.2057,,,BW,17,1,2
BW362,1.376,1.4282,51.1234,,,BW,3,0,1
BW2462,1.49,1.416,50.9298,,,BW,24,0,2
BW762,1.287,1.3346,50.9061,1,,BW,7,0,1
BW2263,1.285,1.647,50.1628,,,BW,22,1,2
BW360,0.949,1.6763,48.8246,,,BW,3,1,1
BW761,1.233,1.9488,49.1565,,,BW,7,0,1
BW2360,1.296,1.655,51.2433,,,BW,23,1,2
BW962,1.293,1.4179,50.1424,,,BW,9,0,1
BW2363,1.435,1.7098,50.4147,,,BW,23,1,2
BW560,0.45,3.7862,44.8869,,,BW,5,1,1
BW2362,1.412,1.3521,50.6229,,,BW,23,0,2
BW1160,1.478,1.4948,49.8802,,,BW,11,1,1
BW2062,1.352,1.4765,48.9751,,,BW,20,0,2
B1462,0.56,6.9285,52.4125,,,B,14,0,2
B2160,0.967,7.3195,54.3914,,,B,21,1,2
B2262,0.464,7.258,53.0993,,,B,22,0,2
B1461,1.28,7.0838,53.4667,,,B,14,0,2
B2260,1.072,7.244,53.5141,,,B,22,1,2
B2061,0.874,6.9158,53.2914,,,B,20,0,2
B2362,1.291,7.0583,53.3311,,,B,23,0,2
B1660,1.484,7.1609,53.2767,,,B,16,1,2
B1761,1.366,7.0533,53.7422,,,B,17,0,2
B2462,0.884,6.7051,53.4793,,,B,24,0,2
B1860,1.311,7.2091,53.9256,,,B,18,1,2
B1863,1.382,7.0013,53.0751,,,B,18,1,2
B1663,1.205,7.0933,51.9975,,,B,16,1,2
B2363,1.24,7.1009,53.2977,,,B,23,1,2
B2163,1.432,7.0234,54.3676,,,B,21,1,2
B160,1.477,7.2023,52.3595,,,B,1,1,1
B1961,1.352,7.0547,52.4999,,,B,19,0,2
B2263,1.396,6.906,51.7847,,,B,22,1,2
B1160,1.377,7.2914,53.4891,,,B,11,1,1
